REPOSITORY                                               TAG                                                                           IMAGE ID            CREATED             SIZE
aarongdocker/hdfs                                        latest                                                                        9e56360e4153        7 months ago        1.246 GB
192.168.1.117:5000/zettage/ubuntu_vnc                    latest                                                                        b02063c7a8f8        7 months ago        2.021 GB
192.168.1.117:5000/zettage/ssh_tty                       latest                                                                        65acfc85f3de        7 months ago        265 MB
quantumobject/docker-shiny                               latest                                                                        832bf710912d        7 months ago        983.5 MB
ubuntu                                                   14.04                                                                         a853da072055        7 months ago        187.9 MB
tobilg/mesos-master                                      latest                                                                        465418f9b065        7 months ago        1.047 GB
192.168.1.117:5000/zettage/notebook                      latest                                                                        05e28073bae4        7 months ago        767.6 MB
192.168.1.117:5000/zettage/rstudio                       latest                                                                        fb46d0d6f4b8        8 months ago        1.344 GB
192.168.1.117:5000/zettage/guacd                         latest                                                                        ecc68e907f66        8 months ago        404.4 MB
shopkeep/spark                                           latest                                                                        4be7b9be182e        9 months ago        1.693 GB
mesosphere/mesos-dns                                     latest                                                                        a78301eef2a1        13 months ago       220.6 MB
192.168.1.117:5000/ypandit/hdp-spark                     latest                                                                        99ec3ed11403        13 months ago       2.973 GB
ypandit/hdp-spark                                        latest                                                                        99ec3ed11403        13 months ago       2.973 GB
192.168.1.117:5000/atcol/docker-registry-ui              latest                                                                        70afde47f522        14 months ago       890.5 MB
atcol/docker-registry-ui                                 latest                                                                        70afde47f522        14 months ago       890.5 MB
mesos-master                                             latest                                                                        a237b70056b9        16 months ago       637.1 MB
mesos-base                                               latest                                                                        3bed89bfd57a        16 months ago       389.2 MB
eddiesimeon/centos-vnc                                   latest                                                                        4d56b07a02da        20 months ago       1.242 GB
